legacy_product_id,source_path,target_product_id,target_path,legacy_index,target_variant_sku,target_external_parent_sku,target_external_source,decision,approved,decision_reason
3152,/pas-brzuszny-at04605-8285-id-3152,11166,/products/pas-brzuszny-at04605,AT04605,AT04605,AT04605,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3152,/pas-brzuszny-at04605-id-3152,11166,/products/pas-brzuszny-at04605,AT04605,AT04605,AT04605,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3158,/orteza-kregoslupa-at04501-8308-id-3158,11062,/products/orteza-kregoslupa-at04501,AT04501,AT04501,AT04501,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3158,/orteza-kregoslupa-at04501-id-3158,11062,/products/orteza-kregoslupa-at04501,AT04501,AT04501,AT04501,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3160,/pas-ledzwiowo-krzyzowy-at04503-8318-id-3160,11172,/products/pas-ledzwiowo-krzyzowy-at04503,AT04503,AT04503,AT04503,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3160,/pas-ledzwiowo-krzyzowy-at04503-id-3160,11172,/products/pas-ledzwiowo-krzyzowy-at04503,AT04503,AT04503,AT04503,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3190,/pas-ciazowy-2062-8406-id-3190,11171,/products/pas-ciazowy-2062,2062,2062,2062,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3190,/pas-ciazowy-2062-id-3190,11171,/products/pas-ciazowy-2062,2062,2062,2062,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3193,/pas-brzuszny---2162-8421-id-3193,11162,/products/pas-brzuszny-2162,2162,2162,2162,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3193,/pas-brzuszny---2162-id-3193,11162,/products/pas-brzuszny-2162,2162,2162,2162,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3199,/pas-brzuszny---2260-8453-id-3199,11163,/products/pas-brzuszny-2260,2260,2260,2260,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3199,/pas-brzuszny---2260-id-3199,11163,/products/pas-brzuszny-2260,2260,2260,2260,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3223,/orteza-nadgarstka---1082-8544-id-3223,11091,/products/orteza-nadgarstka-1082,1082,1082,1082,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3223,/orteza-nadgarstka---1082-id-3223,11091,/products/orteza-nadgarstka-1082,1082,1082,1082,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3250,/kolnierz-ortopedyczny-professional-4098-id-3250,10963,/products/kolnierz-ortopedyczny-professional-4098,4098,4098,4098,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3252,/kolnierz-ortopedyczny-sztywny-primary-4290-id-3252,10967,/products/kolnierz-ortopedyczny-sztywny-primary-4290,4290,4290,4290,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3297,/orteza-stawu-barkowego-accutex-2970-id-3297,11110,/products/orteza-stawu-barkowego-accutex-2970,2970,2970,2970,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3303,/kula-lokciowa-ergotech-8760-id-3303,10988,/products/kula-lokciowa-ergotech,ERGOTECH,ERGOTECH,ERGOTECH,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3303,/kula-lokciowa-ergotech-id-3303,10988,/products/kula-lokciowa-ergotech,ERGOTECH,ERGOTECH,ERGOTECH,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3330,/stabilizator-kolana-z-zawiasami---1031-8873-id-3330,11295,/products/stabilizator-kolana-z-zawiasami-1031,1031,1031,1031,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
3330,/stabilizator-kolana-z-zawiasami---1031-id-3330,11295,/products/stabilizator-kolana-z-zawiasami-1031,1031,1031,1031,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
12506,/orteza-nadgarstka-ze-wzmocnieniem-silikonowym-at53044-81754-id-12506,11097,/products/orteza-nadgarstka-ze-wzmocnieniem-silikonowym-at53044,AT53044,AT53044,AT53044,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
12506,/orteza-nadgarstka-ze-wzmocnieniem-silikonowym-at53044-id-12506,11097,/products/orteza-nadgarstka-ze-wzmocnieniem-silikonowym-at53044,AT53044,AT53044,AT53044,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
12508,/rotor-rehabilitacyjny-at51124-id-12508,11275,/products/rotor-rehabilitacyjny-at51124,AT51124,AT51124,AT51124,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
12509,/rotor-rehabilitacyjny-elektryczny-at51125-id-12509,11276,/products/rotor-rehabilitacyjny-elektryczny-at51125,AT51125,AT51125,AT51125,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
13138,/chwytak-dla-osob-niepelnosprawnych-at51123-id-13138,10910,/products/chwytak-dla-osob-niepelnosprawnych-at51123,AT51123,AT51123,AT51123,antar,APPROVE_301,1,Exact normalized product identity and exact identifier evidence agree; target product and matched variant are active.
